x: 66,2000	f: 0,0000
x: 66,3000	f: 0,0000
x: 66,4000	f: 0,0000
x: 66,5000	f: 0,0000
x: 66,6000	f: 0,0000
x: 66,7000	f: 0,0000
x: 66,8000	f: 0,0000
x: 66,9000	f: 0,0000
x: 67,0000	f: 0,0000
x: 67,1000	f: 0,0000
x: 67,2000	f: 0,0000
x: 67,3000	f: 0,0000
x: 67,4000	f: 0,0000
x: 67,5000	f: 0,0000
x: 67,6000	f: 0,0000
x: 67,7000	f: 0,0000
x: 67,8000	f: 0,0000
x: 67,9000	f: 0,0000
x: 68,0000	f: 0,0000
x: 68,1000	f: 0,0000
x: 68,2000	f: 0,0000
x: 68,3000	f: 0,0000
x: 68,4000	f: 0,0000
x: 68,5000	f: 0,0000
x: 68,6000	f: 0,0000
x: 68,7000	f: 0,0000
x: 68,8000	f: 0,0000
x: 68,9000	f: 0,0000
x: 69,0000	f: 0,0000
x: 69,1000	f: 0,0000
x: 69,2000	f: 0,0000
x: 69,3000	f: 0,0000
x: 69,4000	f: 0,0000
x: 69,5000	f: 0,0000
x: 69,6000	f: 0,0000
x: 69,7000	f: 0,0000
x: 69,8000	f: 0,0000
x: 69,9000	f: 0,0000
x: 70,0000	f: 0,0000
x: 70,1000	f: 0,0000
x: 70,2000	f: 0,0000
x: 70,3000	f: 0,0000
x: 70,4000	f: 0,0000
x: 70,5000	f: 0,0000
x: 70,6000	f: 0,0000
x: 70,7000	f: 0,0000
x: 70,8000	f: 0,0000
x: 70,9000	f: 0,0000
x: 71,0000	f: 0,0000
x: 71,1000	f: 0,0000
x: 71,2000	f: 0,0000
x: 71,3000	f: 0,0000
x: 71,4000	f: 0,0000
x: 71,5000	f: 0,0000
x: 71,6000	f: 0,0000
x: 71,7000	f: 0,0000
x: 71,8000	f: 0,0000
x: 71,9000	f: 0,0000
x: 72,0000	f: 0,0000
x: 72,1000	f: 0,0000
x: 72,2000	f: 0,0000
x: 72,3000	f: 0,0000
x: 72,4000	f: 0,0000
x: 72,5000	f: 0,0000
x: 72,6000	f: 0,0000
x: 72,7000	f: 0,0000
x: 72,8000	f: 0,0000
x: 72,9000	f: 0,0000
x: 73,0000	f: 0,0000
x: 73,1000	f: 0,0000
x: 73,2000	f: 0,0000
x: 73,3000	f: 0,0000
x: 73,4000	f: 0,0000
x: 73,5000	f: 0,0000
x: 73,6000	f: 0,0000
x: 73,7000	f: 0,0000
x: 73,8000	f: 0,0000
x: 73,9000	f: 0,0000
x: 74,0000	f: 0,0000
x: 74,1000	f: 0,0000
x: 74,2000	f: 0,0000
x: 74,3000	f: 0,0000
x: 74,4000	f: 0,0000
x: 74,5000	f: 0,0000
x: 74,6000	f: 0,0000
x: 74,7000	f: 0,0000
x: 74,8000	f: 0,0000
x: 74,9000	f: 0,0000
x: 75,0000	f: 0,0000
x: 75,1000	f: 0,0000
x: 75,2000	f: 0,0000
x: 75,3000	f: 0,0000
x: 75,4000	f: 0,0000
x: 75,5000	f: 0,0000
x: 75,6000	f: 0,0000
x: 75,7000	f: 0,0000
x: 75,8000	f: 0,0000
x: 75,9000	f: 0,0000
x: 76,0000	f: 0,0000
x: 76,1000	f: 0,0000
x: 76,2000	f: 0,0000
x: 76,3000	f: 0,0000
x: 76,4000	f: 0,0000
x: 76,5000	f: 0,0000
x: 76,6000	f: 0,0000
x: 76,7000	f: 0,0000
x: 76,8000	f: 0,0000
x: 76,9000	f: 0,0000
x: 77,0000	f: 0,0000
x: 77,1000	f: 0,0000
x: 77,2000	f: 0,0000
